,y11RSHO,y11RELB,y11RWRA,y12RSHO,y12RELB,y12RWRA,y13RSHO,y13RELB,y13RWRA,y15RSHO,y15RELB,y15RWRA,y16RSHO,y16RELB,y16RWRA,y21RSHO,y21RELB,y21RWRA,y22RSHO,y22RELB,y22RWRA,y23RSHO,y23RELB,y23RWRA,y25RSHO,y25RELB,y25RWRA,y26RSHO,y26RELB,y26RWRA,y31RSHO,y31RELB,y31RWRA,y32RSHO,y32RELB,y32RWRA,y33RSHO,y33RELB,y33RWRA,y35RSHO,y35RELB,y35RWRA,y36RSHO,y36RELB,y36RWRA,y41RSHO,y41RELB,y41RWRA,y42RSHO,y42RELB,y42RWRA,y43RSHO,y43RELB,y43RWRA,y45RSHO,y45RELB,y45RWRA,y46RSHO,y46RELB,y46RWRA,y51RSHO,y51RELB,y51RWRA,y52RSHO,y52RELB,y52RWRA,y53RSHO,y53RELB,y53RWRA,y55RSHO,y55RELB,y55RWRA,y56RSHO,y56RELB,y56RWRA,y61RSHO,y61RELB,y61RWRA,y62RSHO,y62RELB,y62RWRA,y63RSHO,y63RELB,y63RWRA,y65RSHO,y65RELB,y65RWRA,y66RSHO,y66RELB,y66RWRA
y11RSHO,1.0,0.7870749650917948,0.8825040205373015,0.9009842153529392,0.8981624279433058,0.8560830007988183,0.6643831550114268,0.8016245287461049,0.9043665560322501,0.6765613544311947,0.8984075637788647,0.7479478852457765,0.9343235729446178,0.7310473630194956,0.8863015895401336,0.9504482316014019,0.8184662329888761,0.8712186486854044,0.8832575458964126,0.9293614111913219,0.9064409752656236,0.679776754462254,0.7093252775423101,0.8431364144966811,0.8348042810721332,0.8982346422314105,0.8168286117954154,0.9446133371365752,0.8023883449757213,0.9262156569279643,0.9371344657820111,0.8080630128883101,0.8736165191900168,0.8619659568311049,0.9449742225394919,0.8825162405679352,0.5746366762226893,0.659979603868008,0.9154988275570971,0.7228068404058255,0.9145028208170701,0.8584000206439129,0.9218625274879811,0.8246284619300733,0.923515347762202,0.9176319707206055,0.744370247412306,0.9042077760547185,0.890769009804629,0.9174096128521156,0.8832277505343499,0.665605620612158,0.7514555194105675,0.966702108872453,0.7492254054591185,0.9183736892975998,0.7898508821869827,0.8486986538640198,0.8325312512670502,0.9460216389802438,0.9509913582828066,0.8412755870573823,0.915174141117664,0.8224695938745084,0.8905860705533442,0.8991677706333444,0.6519496097664391,0.5938693160714463,0.8828031663462526,0.7832867108216902,0.9475498755002236,0.7721616540284088,0.9353651399277342,0.8219569499479509,0.9071374427089731,0.8201405458682021,0.7162952293882779,0.8905063131172023,0.8144046545019055,0.8029136894019274,0.845763489704009,0.6724742581794302,0.7356225804188381,0.8949684326324073,0.8341922858118184,0.9255758716658715,0.8317894963500452,0.9317491407187675,0.7406893600145165,0.9317321931198133
y11RELB,0.7870749650917948,1.0,0.6259717989080277,0.9360079652692909,0.8348965516814207,0.9134040540569164,0.7317224308498989,0.9273504445217918,0.7518870765122926,0.6671354294690087,0.7325907786583647,0.5766929820901053,0.8905477268719102,0.979348212308806,0.6072268607834506,0.7037226810035214,0.9916597497011197,0.5709741390588104,0.9323320944427893,0.8554458561835906,0.7877456534776361,0.7437247929162684,0.7989891979515023,0.9088396265559118,0.9799752397704135,0.7051262191253604,0.77186354816241,0.9050182647230287,0.9166514790473298,0.7225988795481666,0.8616116035140367,0.9861490854122833,0.5885285813531216,0.8204443672011071,0.7523472572630988,0.9148934896049328,0.7120888699807503,0.8076244235497222,0.8829540500224131,0.6997110721154538,0.753232520029129,0.6930599759370767,0.8192697843989984,0.8493703568713321,0.5862902542099322,0.9313535087956817,0.9105577474810568,0.8586795350586532,0.9392691757955199,0.7952698951414243,0.9019510568767969,0.7770195623952849,0.7449325455464548,0.7754780140049394,0.9641770987274142,0.667469318795114,0.6019000285387877,0.7022324219719713,0.8861017200583368,0.8015116397987805,0.7719883674837317,0.8772580738729175,0.634469782092699,0.8860174981126386,0.7970792253023679,0.8829646173300826,0.7392760687334018,0.6991305686790908,0.5509103321499214,0.9557928434793292,0.795645881345238,0.6294153130242166,0.903524596275024,0.9292100574621546,0.6267983411466518,0.7026500589711308,0.9857536576444741,0.6584432627345581,0.8863247821582574,0.7668807046642642,0.8960276266202618,0.8076344673147968,0.9186773042361961,0.6363657822922304,0.855284084492607,0.7886915060878444,0.7439802423720114,0.8558413453383897,0.9171862234246757,0.7902744972243694
y11RWRA,0.8825040205373015,0.6259717989080277,1.0,0.7939637012685408,0.8242961547603035,0.6798711795522326,0.585289927838574,0.7042436957482846,0.8682394948596763,0.73547835513746,0.8962110134759259,0.8010178296319581,0.81096400372663,0.5428615342159184,0.9124212930237745,0.9084707040385636,0.634046052889422,0.8042407735906087,0.7411405628426221,0.8213114765523226,0.8468131854553216,0.6278785776000521,0.6531981376101824,0.7486369267233338,0.6485413786217545,0.8543015726803797,0.7479086465826765,0.795825251529594,0.696499840805118,0.870481284727202,0.7696435416049551,0.6455055030666563,0.9125301300620116,0.7765054953814702,0.881748399030916,0.7118445267611779,0.5116638790668259,0.5775408237313369,0.847377266539031,0.7565162011461646,0.8599644272421048,0.8636346594835338,0.8134067687377549,0.7599090180250447,0.891515143619531,0.7596556204593055,0.6291577988870907,0.8391937097839639,0.7067084776870086,0.8370095344905474,0.7674873840172676,0.5842093221623545,0.7525611053658453,0.8882851823917545,0.48696078032135753,0.8587086119318111,0.8509421885982522,0.8155717276017119,0.739966734006873,0.855955854814036,0.8688071806672796,0.7578441914638236,0.845478958446839,0.6427257020490437,0.8359552488889573,0.8260491330958728,0.5708699059603749,0.5790628838463896,0.829862921816805,0.5644216996265239,0.8538747204818782,0.766728076668602,0.8281326251139515,0.6880424675875438,0.8713607970248283,0.7675746992268346,0.5157183992926808,0.895036524530025,0.7256841713715535,0.7424240662572382,0.6795707404172101,0.5867051885860232,0.635406256177414,0.8783270124216714,0.803618181659943,0.8938662782055712,0.7977156931199986,0.8934237647161429,0.6314666701668965,0.8687885678485214
y12RSHO,0.9009842153529392,0.9360079652692909,0.7939637012685408,1.0,0.9582996874936194,0.9001782170900197,0.8029771890528998,0.9655454891763174,0.9189591989514423,0.7929564895893924,0.8876788259393541,0.7327516907994228,0.9342133911474729,0.9026711661842598,0.8009996263410655,0.8603976251486108,0.946002642502489,0.7392652641195668,0.9510598537766378,0.9536931536303547,0.87194710288936,0.8343175237372414,0.8553344282936587,0.9816261246135022,0.9447870534363697,0.8814010195909769,0.7840520515894137,0.9224285058152144,0.9562428305745575,0.8545940618876519,0.914162970293235,0.9499849764320193,0.7703248756982715,0.9149867550066337,0.8974720515315046,0.9235927775514228,0.7637011378374252,0.851780494246311,0.9698684326270955,0.8461020069740142,0.871130669221815,0.8439083490807605,0.9088238484145014,0.9468863293722846,0.7738766940332358,0.9746761681294412,0.9138755124042185,0.9757826226322724,0.9643338132327073,0.9207768008657414,0.8931911613559823,0.8312799443943619,0.8798345432681569,0.924190266165647,0.8658961220281318,0.8366723617054588,0.7373386979650712,0.8478357870138942,0.9243101066802418,0.9067140991339494,0.9012808451778739,0.9319899263348266,0.7935048819553907,0.9144663817658245,0.9309339635842659,0.9506336718937106,0.8190385231899924,0.7826064379898934,0.7223506507322353,0.8734325582865005,0.9126710059611363,0.7699042215432094,0.9516384297997242,0.9624365776030563,0.798489530896938,0.8317263818547245,0.8966271055678409,0.8363666089786169,0.9268648502435565,0.8883326738397171,0.8968427677818696,0.842493722743582,0.9365506222027677,0.8263749645800434,0.9513521527738471,0.9390346646178911,0.7930550961014537,0.9620438118238055,0.9241201193645708,0.8803642913873954
y12RELB,0.8981624279433058,0.8348965516814207,0.8242961547603035,0.9582996874936194,1.0,0.830101828608641,0.8196798098916316,0.9275490579971114,0.9521450421225361,0.8037641858917445,0.9157261317023231,0.7868256716125982,0.8965538321540335,0.8050811658564504,0.8548342553628816,0.8891249198466791,0.8506968541328006,0.7821735517282489,0.8716681944048261,0.9516732136044609,0.8579191126199249,0.8478370375883807,0.869506655671366,0.958234935394917,0.8397892101627891,0.9497025170530244,0.7752263562846315,0.8821820529687822,0.9373581319965668,0.8652673827632429,0.8768256738814895,0.8542889732168288,0.8350706670642278,0.9195493569979425,0.9334219673229002,0.8680038059469686,0.7853480660876012,0.8510574610831546,0.9465154835132361,0.879138833802623,0.9091611740857332,0.8888357431285286,0.9142351039979518,0.9210082856878242,0.8141213855922722,0.930095514372015,0.8805037059790976,0.9818593005303938,0.9067569263640035,0.9387811234788467,0.7969242458731376,0.847596864115973,0.9154085264308723,0.9257095472946654,0.7372959185949881,0.8955934784184946,0.7937888094941458,0.9102203728949777,0.8661578281637549,0.8924112421601514,0.9207822062026296,0.8825242539560035,0.8260813907412247,0.8572992948936479,0.910987115209432,0.9088675402102835,0.8380911356846974,0.8126849819337375,0.7875170529242479,0.7637471129117073,0.9248834313260595,0.8533904515108688,0.9110129533812102,0.910949137247163,0.8396138060753348,0.8713018694062745,0.7846987157136682,0.891528291973978,0.9148209659471186,0.921531675633114,0.836914068414463,0.8339315658765144,0.9004981528923607,0.8544368969696943,0.9266397580010052,0.9641381549747131,0.7570898528788622,0.9595402695317786,0.8817037269589731,0.8450723493370659
y12RWRA,0.8560830007988183,0.9134040540569164,0.6798711795522326,0.9001782170900197,0.830101828608641,1.0,0.6469851857552464,0.83088536184715,0.7764074796240042,0.5540221688723753,0.7785151945719131,0.5556497723081231,0.9107614425022218,0.8968854367113522,0.6665180556560866,0.7733947585012476,0.9409989438751767,0.6757526262865536,0.8913975102650366,0.870581223177607,0.8189805607069643,0.6378846275948659,0.7101295803507088,0.8314584259807981,0.9394732975751362,0.7485543275809309,0.8042648061047667,0.9399840647430333,0.8244079348203406,0.7887812580673199,0.8782720625643979,0.9277457317383417,0.6768106646617696,0.7685791853167464,0.7816362508674615,0.9674943032969953,0.572184269777997,0.6733788013711093,0.8462976466131579,0.6188478990253875,0.7920815363895726,0.6809995659312824,0.8468752292236119,0.7741741106021411,0.7131583818701768,0.8793998738160137,0.8167993418098185,0.8440122925589303,0.9174287546639472,0.8406835361391207,0.9242119140023759,0.6683930747151354,0.6414201399708948,0.8493726241992972,0.9169785834617671,0.7388090785542499,0.6580399918594393,0.753651857875934,0.8527108291733614,0.8616110122125671,0.8377396283998401,0.8561854126389756,0.6998828625260385,0.855006853369698,0.8010183213057946,0.9057828064938591,0.6124351103242488,0.559530984741364,0.6609940036358993,0.9576638890838178,0.8869088701330196,0.6304429271034262,0.9061598148709717,0.8722520353560107,0.7360146416159876,0.648363221315209,0.896374234466672,0.7118827617187211,0.8279133770085689,0.7456817100671388,0.9577489065799982,0.6936576676029664,0.8016225403840578,0.7322059365072371,0.7728691455534648,0.8097068088375968,0.7943654347786413,0.8255867650286275,0.817854245585189,0.8501328279147367
y13RSHO,0.6643831550114268,0.7317224308498989,0.585289927838574,0.8029771890528998,0.8196798098916316,0.6469851857552464,1.0,0.8973451607311411,0.8140636180798282,0.5717713930630435,0.7778546983795728,0.4767570839104169,0.6897134091990617,0.7870336438023546,0.6886922257247259,0.5973015103667986,0.7382404819838623,0.5862144307464457,0.746353810253546,0.8276623377063234,0.6965897659507112,0.9890325922116578,0.98105065395818,0.8578677083439541,0.6795617433289899,0.7909330989614687,0.5637508630399152,0.6780862284001694,0.8791411878721129,0.7051878664437252,0.6786743270040518,0.6897633649358628,0.5944458815284962,0.9187964023780316,0.7733037571674481,0.7000354164528882,0.9709023004971016,0.9705405040162496,0.7597699137513535,0.6580992606423391,0.7059144151891938,0.6413546178188803,0.6820119714029542,0.7487512533159061,0.5181529232501988,0.7588565561772456,0.938703192209375,0.8509366889791524,0.8352464775192852,0.7572091889506993,0.5708435801017356,0.9806622072426691,0.9111482333908961,0.7179129252477143,0.6519167022175403,0.6711034425467461,0.5140022273790764,0.8660907978646136,0.5732399175161256,0.65261136210342,0.7226598124302874,0.598089829163875,0.6625440790681016,0.7805421964650039,0.6492375727772145,0.6764034815052733,0.9807987098700803,0.9725381530838701,0.5629151461655644,0.6308959362174968,0.7127587481732683,0.7782456841157713,0.7046086389292592,0.8355387243277755,0.6875984895453545,0.9088304860679354,0.7316874622740974,0.7098189055333152,0.9356986368282533,0.9076826391319922,0.6727967584394926,0.9854687834588888,0.867197102894651,0.6846614691796692,0.7150087058158461,0.7481919297254515,0.47170997029962564,0.7551162908385096,0.9285294513311829,0.6254126492893796
y13RELB,0.8016245287461049,0.9273504445217918,0.7042436957482846,0.9655454891763174,0.9275490579971114,0.83088536184715,0.8973451607311411,1.0,0.8750602137991118,0.774631831523754,0.839396186602917,0.6567915173400171,0.8527046514009299,0.9223301741626422,0.72224999725376,0.758301100251398,0.9261075093630956,0.6275933238157494,0.9055885729654432,0.9212610479727078,0.7914569207610427,0.9221710868354613,0.9334014996515176,0.9836944304243009,0.9042147184856689,0.8357622127178631,0.7076609298379395,0.8465982627782451,0.9839802920907222,0.7685162766564124,0.8305396411087698,0.9195178298198271,0.6769370171617001,0.9234554934135891,0.8408924631810065,0.8593724391353923,0.8790527928280755,0.9434061267885634,0.9253615901566188,0.8322709676784122,0.7975829792314998,0.7845328458805882,0.8278246040317564,0.9118564844800904,0.6296502640417818,0.9293450736294674,0.9740310967600616,0.9494026703640772,0.9450362219076268,0.8611251886580319,0.7964926506013607,0.9259942577186878,0.926210891866682,0.8342380766711791,0.8403059123693877,0.745923471649958,0.6530471012095508,0.8386429654586427,0.8538281421512213,0.7959704567376101,0.8257485120414761,0.8671421659389499,0.7073130424964792,0.8855583302402726,0.8467684143687024,0.8742403345815144,0.9079035519899503,0.8922558669542259,0.6009189950868367,0.8298817001479614,0.8315019214404973,0.7587846920204174,0.8811057924900032,0.9566061586993246,0.7065423026224097,0.8536993063662318,0.9068973516301079,0.7637011653986935,0.9646231545193328,0.8965777249359413,0.8300272483203067,0.9360209831211972,0.9836110071398532,0.7455396666102777,0.9210017094837023,0.8767428364560711,0.668133196859657,0.9079356553546235,0.9788083094048726,0.7753400220817958
y13RWRA,0.9043665560322501,0.7518870765122926,0.8682394948596763,0.9189591989514423,0.9521450421225361,0.7764074796240042,0.8140636180798282,0.8750602137991118,1.0,0.7298392445114965,0.9504089631288081,0.7617747554321872,0.8789798417388384,0.723231403390257,0.9302232925525775,0.8824184282649284,0.7792198376787592,0.8746911297835113,0.8630934998137372,0.9344068895267517,0.868404596940172,0.844199889714659,0.8359162621407343,0.9111388537386621,0.7607349506813462,0.9608965330616274,0.7336386040508031,0.8423993484451393,0.870243577330931,0.8920404227400553,0.8695025292174723,0.7750608667489235,0.8531222783777033,0.922974568420943,0.9408712317693584,0.8282020788041411,0.7540357786143258,0.8099223033220111,0.900067782952553,0.8224865662505727,0.9091279363147181,0.8732167371793758,0.877651505555121,0.9174030623118544,0.8691478710051119,0.8784860735443658,0.8242165064271094,0.9520178263131747,0.8810782379266492,0.9338833162778996,0.7643249070591741,0.7991775324297141,0.9019325450691354,0.9624159105950534,0.6566999363427097,0.9120498695587796,0.7796266504449667,0.9235010136932036,0.7787278212240829,0.9000028820150169,0.9279638614780077,0.8142104956491438,0.8868404122781549,0.8640933188037317,0.9302619824867535,0.8946241431547417,0.825156384151441,0.7929524752113594,0.8460217647989559,0.6818488278801286,0.9234035755371492,0.8758451558954055,0.8915605916872306,0.8917923004432744,0.8993795160069752,0.8847991401276489,0.6896458021162002,0.9316663142319014,0.8728008182096996,0.9399031233192957,0.8062618273001285,0.7979440741411277,0.8124987685414408,0.9508833259078543,0.8808990237654961,0.964311332588448,0.7581859077473511,0.9320856919784865,0.8322366440206909,0.8728319903336826
y15RSHO,0.6765613544311947,0.6671354294690087,0.73547835513746,0.7929564895893924,0.8037641858917445,0.5540221688723753,0.5717713930630435,0.774631831523754,0.7298392445114965,1.0,0.7015667957495756,0.8036998219479773,0.6510933539178742,0.5661230802919449,0.6617278638728108,0.7861860477623097,0.6504478326714449,0.47324212972271107,0.6429918983085867,0.6970938699011193,0.6163327287008792,0.6493656067940732,0.6458303582542715,0.8141643999279552,0.7014683114653516,0.7050600235336788,0.5271786030245428,0.6275539117686693,0.7779438028520294,0.6028776004055133,0.6208759505450923,0.7034418092096453,0.7017204055510806,0.6926726789111546,0.7196585023064492,0.5779410874631637,0.5741817400618013,0.6513112522248555,0.8641726271741627,0.970462556702556,0.6701349826830928,0.8373473510621765,0.6846015817439421,0.7798607612251283,0.6149963250829534,0.7766686426492402,0.6442327197170002,0.8062726445410732,0.638443281276714,0.6635836070370635,0.6351735890297078,0.634133106559849,0.8322709215434649,0.7000311271010289,0.5003846604398908,0.7276186545647991,0.7184451952739945,0.6078993664218414,0.8687188808363645,0.6659961470995249,0.7072164598053226,0.8722637991431115,0.5119201302194571,0.5290336828409962,0.76119120951219,0.7327009965406442,0.6192795136714084,0.6589300938306706,0.5026688314976283,0.5195715206539809,0.6468574724448416,0.5800248121003128,0.7043711895396952,0.6562886657467408,0.5315632520823672,0.6523790806488137,0.5873960134740441,0.6955057622095169,0.7096742578419659,0.6196288182322763,0.5231529931702233,0.6279535602599144,0.8073058418980055,0.6039483431296214,0.9224292494055047,0.8239935808041546,0.6004868913326948,0.8353342503703628,0.666166490048189,0.6051661501022216
